category_id,product_name,image_path,status,source_url,note
CAT014,Bún bò Huế Vifon tô 120g,products/bun_bo_hue_vifon_to_120g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT014,Cơm cháy chà bông hộp 200g,products/com_chay_cha_bong_hop_200g.png,DOWNLOADED,https://shopee.vn/(200g)-Cơm-cháy-nếp-chà-bông-cơm-cháy-Việt-Hưng-Đặc-sản-Ninh-Bình-i.8702740.14996327013,"score=146; query=""Cơm cháy chà bông hộp 200g"" ảnh sản phẩm; title=(200g) Cơm cháy nếp chà bông cơm cháy Việt Hưng - Đặc sản Ninh Bình ...; reasons=+token:com;+token:chay;+token:cha;+token:bong;+token:200g;+brand:com;+brand:chay;+brand:cha;+trusted:shopee.vn;+high_token_ratio"
CAT014,Súp nui ăn liền Knorr 60g,products/sup_nui_an_lien_knorr_60g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT015,Nước lau sàn Sunlight hương hoa 1kg,products/nuoc_lau_san_sunlight_huong_hoa_1kg.png,DOWNLOADED,https://www.bachhoaxanh.com/nuoc-lau-nha/nuoc-lau-san-sunlight-huong-hoa-lily-chai-1kg,"score=156; query=""Nước lau sàn Sunlight hương hoa 1kg"" bách hóa xanh; title=Nước lau sàn Sunlight hoa lily & bạch trà 1kg Bách hoá XANH; reasons=+token:nuoc;+token:lau;+token:sunlight;+token:huong;+token:hoa;+token:1kg;+brand:nuoc;+brand:lau;+brand:sunlight;+trusted:bachhoaxanh.com;+high_token_ratio"
CAT015,Nước tẩy Javel Gift 1L,products/nuoc_tay_javel_gift_1l.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT015,Xịt phòng Glade hương hoa 280ml,products/xit_phong_glade_huong_hoa_280ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT015,Nước lau kính Gift 580ml,products/nuoc_lau_kinh_gift_580ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT015,Bình xịt côn trùng Raid 600ml,products/binh_xit_con_trung_raid_600ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT015,Miếng rửa chén Scotch Brite 3 miếng,products/mieng_rua_chen_scotch_brite_3_mieng.png,DOWNLOADED,https://shopee.vn/Miếng-Rửa-Chén-Hạt-Nổi-3M-Scotch-Brite-Không-Trầy-Xước-Mút-Kháng-Khuẩn-Không-Bám-Cặn-Gây-Mùi-i.39810901.12113464314,"score=136; query=""Miếng rửa chén Scotch Brite 3 miếng"" sản phẩm chính hãng; title=Miếng Rửa Chén Hạt Nổi 3M Scotch Brite Không Trầy Xước-Mút Kháng Khuẩn ...; reasons=+token:rua;+token:chen;+token:scotch;+token:brite;+brand:rua;+brand:chen;+brand:scotch;+trusted:shopee.vn;+high_token_ratio"
CAT015,Cây lau nhà 360 độ bộ,products/cay_lau_nha_360_do_bo.png,DOWNLOADED,https://tecki.vn/p1.155662558.19988181165-cay-lau-nha-360-do-thong-minh-kem-long-vat-inox-tu-dong-bo-choi-lau-nha-tu-dong-vat-tro-luc-360-do,"score=126; query=""Cây lau nhà 360 độ bộ"" ảnh sản phẩm; title=Mua Cây lau nhà 360 độ thông minh kèm lồng vắt inox tự động, bộ chổi ...; reasons=+token:cay;+token:lau;+token:nha;+brand:cay;+brand:lau;+brand:nha;+trusted:shopee.vn;+high_token_ratio"
CAT015,Nước thông cống Hando 1L,products/nuoc_thong_cong_hando_1l.png,DOWNLOADED,https://shopee.vn/Nước-Thông-Cống-Hando-1L-(Vệ-Sinh-Đường-Ống-Cống-Lavabor..)-i.65533588.25645199714,"score=136; query=""Nước thông cống Hando 1L"" ảnh sản phẩm; title=Nước Thông Cống Hando 1L (Vệ Sinh Đường Ống, Cống, Lavabor..) | Shopee ...; reasons=+token:nuoc;+token:thong;+token:cong;+token:hando;+brand:nuoc;+brand:thong;+brand:cong;+trusted:shopee.vn;+high_token_ratio"
